,PROPERTY TYPE,CITY,ZIP OR POSTAL CODE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,HOA/MONTH,LATITUDE,LONGITUDE,PRICE,DAYS ON MARKET,COUNTY,median_sale_price,median_sale_ppsf,total_homes_sold,percent_homes_sold_with_price_drops,price_drops,inventory,total_active_listings,median_active_list_price
61,Single Family Residential,Stafford,22554,4.0,2.5,2561.0,5649.0,2020.0,135.0,38.4444517,-77.440055,599990,29.0,STAFFORD COUNTY,,,,,,,,
62,Single Family Residential,Stafford,22554,6.0,4.0,4885.0,147755.0,2004.0,42.0,38.4423347,-77.3657751,945000,29.0,STAFFORD COUNTY,,,,,,,,
63,Townhouse,Stafford,22554,3.0,3.5,2347.0,3158.0,2023.0,135.0,38.46747824,-77.42666455,585586,30.0,STAFFORD COUNTY,,,,,,,,
64,Single Family Residential,Stafford,22554,4.0,3.5,2480.0,6612.0,,117.0,38.4865436,-77.3786275,575000,31.0,STAFFORD COUNTY,,,,,,,,
65,Single Family Residential,Stafford,22554,4.0,3.5,3200.0,47863.0,1985.0,,38.4216054,-77.3940084,695000,31.0,STAFFORD COUNTY,,,,,,,,
66,Single Family Residential,Stafford,22554,5.0,3.5,3136.0,7283.0,2020.0,138.0,38.447928,-77.4359308,799900,33.0,STAFFORD COUNTY,,,,,,,,
67,Single Family Residential,Stafford,22554,5.0,4.0,3868.0,6398.0,2018.0,138.0,38.4484479,-77.4382058,690000,47.0,STAFFORD COUNTY,,,,,,,,
68,Single Family Residential,Stafford,22554,4.0,4.5,4337.0,7318.0,2023.0,135.0,38.441086,-77.43465,815000,48.0,STAFFORD COUNTY,,,,,,,,
69,Single Family Residential,Stafford,22554,4.0,4.0,3428.0,9665.0,2021.0,138.0,38.4467043,-77.428758,755000,52.0,STAFFORD COUNTY,,,,,,,,
70,Single Family Residential,Stafford,22554,6.0,5.0,4292.0,7021.0,2017.0,140.0,38.436145,-77.4253956,745000,52.0,STAFFORD COUNTY,,,,,,,,
71,Single Family Residential,Stafford,22554,6.0,4.0,4608.0,10550.0,2018.0,135.0,38.4447212,-77.4307978,824999,55.0,STAFFORD COUNTY,,,,,,,,
72,Single Family Residential,Stafford,22554,3.0,2.0,1512.0,578825.0,1985.0,,38.4149266,-77.3962739,679000,62.0,STAFFORD COUNTY,,,,,,,,
73,Townhouse,Stafford,22554,4.0,3.5,2980.0,3075.0,2022.0,193.0,38.4539789,-77.429281,630230,62.0,STAFFORD COUNTY,,,,,,,,
74,Single Family Residential,Stafford,22554,5.0,4.5,4469.0,8886.0,2018.0,140.0,38.4448896,-77.4310444,735000,62.0,STAFFORD COUNTY,,,,,,,,
75,Single Family Residential,Stafford,22554,6.0,5.0,3972.0,6851.0,2018.0,138.0,38.4409848,-77.4360653,794000,65.0,STAFFORD COUNTY,,,,,,,,
76,Condo/Co-op,Stafford,22554,3.0,2.0,1475.0,,,243.0,38.452356,-77.436617,445000,66.0,STAFFORD COUNTY,,,,,,,,
77,Single Family Residential,Stafford,22554,4.0,3.5,3730.0,8232.0,2023.0,135.0,38.455339,-77.4350539,800000,66.0,STAFFORD COUNTY,,,,,,,,
78,Vacant Land,Stafford,22554,,,,832331.0,,,38.3991864,-77.43845859,2500000,66.0,STAFFORD COUNTY,,,,,,,,
79,Single Family Residential,Stafford,22554,4.0,3.5,3300.0,286189.0,2024.0,50.0,38.37320327,-77.32823451,750000,69.0,STAFFORD COUNTY,,,,,,,,
80,Townhouse,Stafford,22554,3.0,3.5,2119.0,2038.0,2023.0,135.0,38.467823,-77.425652,513038,72.0,STAFFORD COUNTY,,,,,,,,
81,Single Family Residential,Stafford,22554,6.0,5.0,5450.0,143181.0,2006.0,53.0,38.3749686,-77.3343718,1165000,73.0,STAFFORD COUNTY,,,,,,,,
82,Single Family Residential,Stafford,22554,4.0,3.0,1338.0,8067.0,1997.0,8.0,38.470563,-77.441727,519900,74.0,STAFFORD COUNTY,,,,,,,,
83,Single Family Residential,Stafford,22554,5.0,4.5,6634.0,24803.0,2002.0,108.0,38.4443047,-77.4857694,950000,75.0,STAFFORD COUNTY,,,,,,,,
84,Vacant Land,Stafford,22554,,,,15607.0,,124.0,38.4588425,-77.3924995,139000,80.0,STAFFORD COUNTY,,,,,,,,
85,Single Family Residential,Stafford,22554,4.0,2.5,2364.0,55321.0,2023.0,,38.42700576,-77.36915906,599900,82.0,STAFFORD COUNTY,,,,,,,,
86,Condo/Co-op,Stafford,22554,3.0,2.0,1613.0,,2023.0,243.0,38.45646,-77.42917,479551,84.0,STAFFORD COUNTY,,,,,,,,
87,Single Family Residential,Stafford,22554,5.0,4.5,4897.0,96528.0,,,38.3665649,-77.2960401,1999999,87.0,STAFFORD COUNTY,,,,,,,,
88,Vacant Land,Stafford,22554,,,,6969.0,,,38.41838727,-77.42177178,60000,90.0,STAFFORD COUNTY,,,,,,,,
89,Single Family Residential,Stafford,22554,3.0,2.0,1700.0,43995.0,,,38.4286004,-77.3769336,459900,95.0,STAFFORD COUNTY,,,,,,,,
90,Vacant Land,Stafford,22554,,,,145882.0,,,38.490377,-77.3809,1200000,129.0,STAFFORD COUNTY,,,,,,,,
91,Vacant Land,Stafford,22554,,,,2424549.0,,,38.4550418,-77.4781542,1994600,129.0,STAFFORD COUNTY,,,,,,,,
92,Vacant Land,Stafford,22554,,,,44474.0,,,38.44632,-77.39291,260000,160.0,STAFFORD COUNTY,,,,,,,,
93,Vacant Land,Stafford,22554,,,,2166238.0,,,38.39609796,-77.34905267,345000,244.0,STAFFORD COUNTY,,,,,,,,
94,Condo/Co-op,Stafford,22554,2.0,2.0,1428.0,,2022.0,243.0,38.452356,-77.436617,450000,285.0,STAFFORD COUNTY,,,,,,,,
95,Vacant Land,Stafford,22554,,,,43560.0,,,38.4579601,-77.3590537,98000,314.0,STAFFORD COUNTY,,,,,,,,
96,Vacant Land,Stafford,22554,,,,43908.0,,,38.42567,-77.37466,68000,328.0,STAFFORD COUNTY,,,,,,,,
97,Vacant Land,Stafford,22554,,,,217800.0,,,38.49378859,-77.37957526,350000,341.0,STAFFORD COUNTY,,,,,,,,
98,Vacant Land,Stafford,22554,,,,1126971.0,,,38.3726974,-77.3185211,699000,391.0,STAFFORD COUNTY,,,,,,,,
99,Vacant Land,Stafford,22554,,,,43560.0,,,38.46227227,-77.34978784,120000,430.0,STAFFORD COUNTY,,,,,,,,
100,Single Family Residential,Stafford,22556,4.0,2.5,2971.0,7000.0,2023.0,135.0,38.44766632,-77.4322153,664990,451.0,STAFFORD COUNTY,,,,,,,,
101,Single Family Residential,Stafford,22554,4.0,2.5,2542.0,7000.0,2023.0,135.0,38.44812164,-77.43304272,629990,452.0,STAFFORD COUNTY,,,,,,,,
102,Single Family Residential,Stafford,22554,3.0,2.5,2689.0,7000.0,2023.0,135.0,38.44738588,-77.4323428,638990,452.0,STAFFORD COUNTY,,,,,,,,
103,Single Family Residential,Stafford,22554,3.0,2.5,2570.0,7000.0,2023.0,135.0,38.44255022,-77.43520653,639990,453.0,STAFFORD COUNTY,,,,,,,,
104,Vacant Land,Stafford,22554,,,,39465.0,,,38.412904,-77.412102,750000,482.0,STAFFORD COUNTY,,,,,,,,
105,Single Family Residential,Stafford,22554,4.0,4.5,4500.0,142876.0,2024.0,50.0,38.37288813,-77.32809058,875000,483.0,STAFFORD COUNTY,,,,,,,,
106,Townhouse,Stafford,22554,3.0,3.5,3484.0,3075.0,2022.0,183.0,38.44311697,-77.43591629,527990,498.0,STAFFORD COUNTY,,,,,,,,
107,Townhouse,Stafford,22554,3.0,2.5,2028.0,3075.0,2022.0,183.0,38.44273954,-77.43541203,474990,498.0,STAFFORD COUNTY,,,,,,,,
108,Single Family Residential,Stafford,22554,3.0,2.0,2080.0,80324.0,1959.0,,38.4323827,-77.4395619,995000,602.0,STAFFORD COUNTY,,,,,,,,
109,Vacant Land,Stafford,22554,,,,67169.0,,,38.40961818,-77.41396325,1300000,627.0,STAFFORD COUNTY,,,,,,,,
110,Vacant Land,Stafford,22554,,,,170755.0,,,38.4486495,-77.4649761,850000,770.0,STAFFORD COUNTY,,,,,,,,
111,Vacant Land,Stafford,22554,,,,419047.0,,,38.4090126,-77.4244541,2199500,793.0,STAFFORD COUNTY,,,,,,,,
